id	text	translation	feature	analysis
C01	Ek sere Hamarkor.	I am a dwarf.	identity	Hamarkor is a predicate noun; no occupational implication.
C02	Vir sere Hamarkorar.	We are dwarves.	number	Plural predicate noun; verb does not agree.
C03	Da menir karne da kel.	The stoneworker builds the chamber.	main_v2	Subject + finite + object.
C04	Nu karne ek da kel.	Now I build the chamber.	inversion	Time constituent + finite + subject.
C05	Na da kelum vare da menir.	The stoneworker speaks inside the chamber.	preposition	Whole location phrase occupies first field.
C06	Karne du da kel?	Do you build the chamber?	yes_no	Finite precedes subject.
C07	Hve karne da kel?	Who builds the chamber?	subject_question	Interrogative is the subject.
C08	Hvat karne du?	What do you build?	object_question	Object question retains explicit subject.
C09	Hor sere da ner?	Where is the child?	where_question	Copula is finite second constituent.
C10	Me hveum vare du?	With whom do you speak?	oblique_question	Interrogative takes oblique after me.
C11	Ek karne ne da kel.	I do not build the chamber.	negation	Ne follows subject and finite.
C12	Nu have ek ne karnet da kel.	Now I have not built the chamber.	negated_perfect	Inversion; negation before nonfinite participle.
C13	Ek vare ke sa ne karne da kel.	I say that they do not build the chamber.	subordination	Singular sa; dependent negation before finite.
C14	Ek vite se du karne da kel.	I know whether you build the chamber.	embedded_yes_no	No inversion in dependent question.
C15	Ek vite hor du karne da kel.	I know where you build the chamber.	embedded_wh	Question word + subject + finite.
C16	Da kor ri karne da kel sere her.	The person who builds the chamber is here.	subject_relative	Relative subject gap; entire noun phrase precedes main copula.
C17	Da kel ri ek karne sere storr.	The chamber that I build is large.	object_relative	Relative object gap; predicate adjective remains uninflected.
C18	Da kor ri ek vare me saum sere her.	The person with whom I speak is here.	oblique_relative	Resumptive pronoun saum after me.
C19	Da kor ri ne karne da kel sere her.	The person who does not build the chamber is here.	relative_negation	Subject gap followed by ne + finite.
C20	Eks kel sere her.	My chamber is here.	possessive_pronoun	Possessor replaces head determiner.
C21	Da menirs kel sere her.	The stoneworker's chamber is here.	genitive_scope	Da belongs inside the possessor.
C22	Ek have kel af da menirum.	I have a chamber belonging to the stoneworker.	indefinite_possession	Bare head plus postposed association phrase.
C23	Ek give da men til duum.	I give the stone to you.	recipient	No bare double-object pattern.
C24	Sa vaske si.	They wash themself.	reflexive	Singular reflexive refers to clause subject.
C25	Sa vaske sa.	They wash another person referred to as they.	nonreflexive	Distinct third-person referent; repeat names if unclear.
C26	Sa have sis handhamar.	They have their own hand hammer.	reflexive_possession	Sis is subject-bound.
C27	Sa have sas handhamar.	They have another person's hand hammer.	external_possession	Sas is not subject-bound here.
C28	Vir helpe vir mut.	We help one another.	reciprocal	Plural object plus reciprocal marker.
C29	Ek vare me sium ak duum.	I speak with myself and you.	coordination	Reflexive sium is clause-subject-bound; both conjuncts carry oblique.
C30	Da men sere darn ak spröd.	The stone is scratch-resistant and brittle.	properties	Hardness does not entail toughness.
C31	Di men sere mer darn dan dan men.	This stone is harder than that stone.	comparison	First dan is comparison linker; second is determiner.
C32	Di kel sere sam storr as dan kel.	This chamber is as large as that chamber.	equative	Sam + adjective + as introduces an equal comparison.
C33	Da menir karnte da nerkel.	The stoneworker built the nursery.	past	Transparent past suffix -te.
C34	Ek have karnet da kel.	I have built the chamber.	perfect	Have + participle.
C35	Ek havte karnet da kel.	I had built the chamber.	pluperfect	Past auxiliary + participle.
C36	Ek fere karnen da kel.	I will build the chamber.	future	Finite prospective auxiliary + infinitive.
C37	Ek fere haven karnet da kel.	I will have built the chamber.	future_perfect	Future + infinitive perfect auxiliary + participle.
C38	Ek mage bären da men.	I can carry the stone.	ability	Magen expresses ability.
C39	Ek mole stilen.	I must remain silent.	obligation	Positive obligation with lexical silent verb.
C40	Ek mole ne varen.	I am not obliged to speak.	modal_negation	Negation takes scope over obligation.
C41	Ek banne varen.	I prohibit speaking.	prohibition	Activity infinitive; not I must not speak.
C42	Ek love ke da ner ete.	I permit the child to eat.	permission	Explicit subordinate subject.
